location_aaq,location_lat,location_lon,location_aqi,Date,Benzene,CO,PM2.5,NH3,PM10,NOx,Toluene,Xylene,Ozone,SO2
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2022-04-01,4.045251700000001,0.8883020066666667,57.44827586206897,4.297022366666667,124.66666666666669,22.835784333333333,,,17.22304833333333,3.6956190666666666
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2022-04-01,2.646264266666666,0.5615882808695651,42.2962962962963,6.060782925925927,115.33333333333331,51.659770740740726,,,23.00837111111112,3.1629072307692305
ICRISAT,17.516590000000065,78.27499000000006,Pashamylaram,2022-04-01,0.11329786,0.3133333333333333,40.13333333333333,15.023029666666666,97.96666666666668,16.189301033333333,,,67.69666666666667,10.596666666666664
ECIL,17.42087514237781,78.54339414429708,Nacharam,2022-04-01,0.83,0.91,31.0,11.02,85.0,11.3,,,25.8,3.97
Nacharam,17.431250000000034,78.55922000000004,ECIL,2022-04-01,0.56,0.5,22.45,20.0,36.14,20.1,,,8.61,5.04
Malakpet louis,18.10176000000007,79.71536000000003,"Kuda, warangal",2022-04-01,0.81,0.81,59.0,17.18,100.95,20.96,,,14.92,22.29
Khairthabad RTA,17.405920000000037,78.45856000000003,Panjagutta,2022-04-01,0.98,0.63,34.0,20.0,81.0,21.35,,,34.2,8.59
Komaplly,17.549060000000054,78.48655000000008,Jeedimetla,2022-04-01,0.59,0.71,29.0,10.85,47.0,9.0,,,25.6,5.63
Kokapet,17.405860000000075,78.33022000000005,"KBRN Park, DFO office ",2022-04-01,0.79,0.51,24.0,12.0,43.0,11.45,,,20.87,22.43
Sympony Park,17.530569987152973,78.2881081586758,Pashamylaram,2022-04-01,0.92,0.54,27.0,12.19,45.0,9.99,,,19.89,5.46
IITH ,17.802515696000057,79.01075984700003,IITH ,2022-04-01,0.8,0.47,41.0,10.0,60.0,15.92,,,32.65,5.76
HCU,17.802515696000057,79.01075984700003,R C Puram,2022-05-01,0.8778570925333334,0.3991537322580644,29.967741935483872,8.12557822580645,102.48387096774194,57.75970483870967,,,17.438372903225805,3.470422225806451
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2022-05-01,0.0120205461290322,0.5421979000000001,42.64516129032258,,,25.23262146953404,,,15.648612580645162,3.848570290322581
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2022-05-01,3.026866470967743,0.7962314193548387,51.935483870967744,2.832887322580645,114.6774193548387,18.72032741935484,,,17.29259096774194,3.691895483870967
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2022-05-01,2.5645450185185186,0.5868956370370372,38.285714285714285,7.22121207142857,120.11111111111111,30.599828214285708,,,18.95435351851852,4.16521937037037
Bollaram,18.168900000000065,78.08390000000009,Boallaram,2022-05-01,0.0379323714838709,0.776719711111111,,,,,,,5.314633935483872,
ICRISAT,17.516590000000065,78.27499000000006,ICRISAT,2022-05-01,0.0862155991290322,0.2922580645161291,32.74193548387097,16.81925964516129,99.64516129032258,16.300390741935484,,,56.98387096774192,8.848387096774196
ECIL,17.42087514237781,78.54339414429708,ECIL,2022-05-01,0.8,0.54,14.32,12.14,46.0,19.32,,,25.87,6.04
Nacharam,17.431250000000034,78.55922000000004,Nacharam,2022-05-01,1.0,0.39,27.0,12.14,43.0,21.0,,,6.06,7.69
Malakpet louis,18.10176000000007,79.71536000000003,Malakpet louis,2022-05-01,0.89,0.33,28.0,18.7,47.0,21.0,,,20.78,9.53
Khairthabad RTA,17.405920000000037,78.45856000000003,Khairthabad RTA,2022-05-01,1.71,0.66,38.0,9.93,63.0,26.7,,,32.0,4.01
Komaplly,17.549060000000054,78.48655000000008,Komaplly,2022-05-01,0.43,0.25,17.0,10.39,58.0,10.0,,,25.0,6.22
Kokapet,17.405860000000075,78.33022000000005,Kokapet,2022-05-01,0.68,0.48,23.0,21.66,35.0,13.35,,,29.81,12.73
Sympony Park,17.530569987152973,78.2881081586758,Sympony Park,2022-05-01,0.91,0.44,34.0,12.5,35.0,7.8,,,24.98,7.76
IITH ,17.802515696000057,79.01075984700003,R C Puram,2022-05-01,0.89,0.22,36.0,14.63,60.0,20.0,,,16.34,3.96
HCU,17.802515696000057,79.01075984700003,BPPA,2022-05-01,0.8778570925333334,0.3991537322580644,29.967741935483872,8.12557822580645,102.48387096774194,57.75970483870967,,,17.438372903225805,3.470422225806451
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2022-05-01,0.0120205461290322,0.5421979000000001,42.64516129032258,,,25.23262146953404,,,15.648612580645162,3.848570290322581
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2022-05-01,3.026866470967743,0.7962314193548387,51.935483870967744,2.832887322580645,114.6774193548387,18.72032741935484,,,17.29259096774194,3.691895483870967
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2022-05-01,2.5645450185185186,0.5868956370370372,38.285714285714285,7.22121207142857,120.11111111111111,30.599828214285708,,,18.95435351851852,4.16521937037037
Bollaram,18.168900000000065,78.08390000000009,Bollaram,2022-05-01,0.0379323714838709,0.776719711111111,,,,,,,5.314633935483872,
ICRISAT,17.516590000000065,78.27499000000006,Sympony Park,2022-05-01,0.0862155991290322,0.2922580645161291,32.74193548387097,16.81925964516129,99.64516129032258,16.300390741935484,,,56.98387096774192,8.848387096774196
ECIL,17.42087514237781,78.54339414429708,"Nacharam, Police station ",2022-05-01,0.8,0.54,14.32,12.14,46.0,19.32,,,25.87,6.04
Nacharam,17.431250000000034,78.55922000000004,"Nacharam, Police station ",2022-05-01,1.0,0.39,27.0,12.14,43.0,21.0,,,6.06,7.69
Malakpet louis,18.10176000000007,79.71536000000003,"Mee-Seva, Warangal",2022-05-01,0.89,0.33,28.0,18.7,47.0,21.0,,,20.78,9.53
Khairthabad RTA,17.405920000000037,78.45856000000003,"Buddha Purnima Project office, Tank Bund",2022-05-01,1.71,0.66,38.0,9.93,63.0,26.7,,,32.0,4.01
Komaplly,17.549060000000054,78.48655000000008,"Jeedimetla, Industrial Association building",2022-05-01,0.43,0.25,17.0,10.39,58.0,10.0,,,25.0,6.22
Kokapet,17.405860000000075,78.33022000000005,"Jubilee Hills, Police station",2022-05-01,0.68,0.48,23.0,21.66,35.0,13.35,,,29.81,12.73
Sympony Park,17.530569987152973,78.2881081586758,ICRISAT,2022-05-01,0.91,0.44,34.0,12.5,35.0,7.8,,,24.98,7.76
IITH ,17.802515696000057,79.01075984700003,BPPA,2022-05-01,0.89,0.22,36.0,14.63,60.0,20.0,,,16.34,3.96
HCU,17.802515696000057,79.01075984700003,IITH ,2022-05-01,0.8778570925333334,0.3991537322580644,29.967741935483872,8.12557822580645,102.48387096774194,57.75970483870967,,,17.438372903225805,3.470422225806451
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2022-05-01,0.0120205461290322,0.5421979000000001,42.64516129032258,,,25.23262146953404,,,15.648612580645162,3.848570290322581
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2022-05-01,3.026866470967743,0.7962314193548387,51.935483870967744,2.832887322580645,114.6774193548387,18.72032741935484,,,17.29259096774194,3.691895483870967
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2022-05-01,2.5645450185185186,0.5868956370370372,38.285714285714285,7.22121207142857,120.11111111111111,30.599828214285708,,,18.95435351851852,4.16521937037037
ICRISAT,17.516590000000065,78.27499000000006,Pashamylaram,2022-05-01,0.0862155991290322,0.2922580645161291,32.74193548387097,16.81925964516129,99.64516129032258,16.300390741935484,,,56.98387096774192,8.848387096774196
ECIL,17.42087514237781,78.54339414429708,Nacharam,2022-05-01,0.8,0.54,14.32,12.14,46.0,19.32,,,25.87,6.04
Nacharam,17.431250000000034,78.55922000000004,ECIL,2022-05-01,1.0,0.39,27.0,12.14,43.0,21.0,,,6.06,7.69
Malakpet louis,18.10176000000007,79.71536000000003,"Kuda, warangal",2022-05-01,0.89,0.33,28.0,18.7,47.0,21.0,,,20.78,9.53
Khairthabad RTA,17.405920000000037,78.45856000000003,Panjagutta,2022-05-01,1.71,0.66,38.0,9.93,63.0,26.7,,,32.0,4.01
Komaplly,17.549060000000054,78.48655000000008,Jeedimetla,2022-05-01,0.43,0.25,17.0,10.39,58.0,10.0,,,25.0,6.22
Kokapet,17.405860000000075,78.33022000000005,"KBRN Park, DFO office ",2022-05-01,0.68,0.48,23.0,21.66,35.0,13.35,,,29.81,12.73
Sympony Park,17.530569987152973,78.2881081586758,Pashamylaram,2022-05-01,0.91,0.44,34.0,12.5,35.0,7.8,,,24.98,7.76
IITH ,17.802515696000057,79.01075984700003,IITH ,2022-05-01,0.89,0.22,36.0,14.63,60.0,20.0,,,16.34,3.96
HCU,17.802515696000057,79.01075984700003,R C Puram,2022-06-01,1.4371252714285714,0.3142310071428572,12.814814814814817,8.158347535714285,45.142857142857146,50.16653107142857,,,8.684633214285713,2.8393690714285715
