location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
"Madhapur, Shilpa Kalavedika ",2016-05-01,22.6,,,,4.7,,,70.0,,
"Shameerpet, MRO office",2016-05-01,19.6,,,,4.6,,,62.0,,
"Kukatpally, JNTU",2016-05-01,28.0,,,,4.6,,,80.0,,
"Sainikpuri,  MRO office ",2016-05-01,17.7,,,,4.7,,,78.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-05-01,16.1,,,,,,,65.0,,
"Nacharam, Police station ",2016-05-01,24.3,,,,4.7,,,112.0,,
"Abids, Police station ",2016-05-01,25.8,,,,4.8,,,91.0,,
"KBRN Park, DFO office ",2016-05-01,18.5,,,,4.4,,,45.0,,
Punjagutta,2016-05-01,71.15402251428968,,62.88518623295132,4.084635099506484,,3.2,7.416257333940441,109.35424006383047,109.35424006383047,1.6656581523894642
Sanathnagar,2016-05-01,47.39242516129032,40.13575322580645,6.499357354838711,0.636786235483871,5.062037774193547,0.8575247451612904,57.02262483870967,,,0.7125806451612904
HCU,2016-05-01,18.854597479999992,21.566666666666663,1.5556375633333337,0.2354521146666667,7.079359966666668,0.4185212056666667,25.579999999999995,58.55172413793103,13.96979936,0.8783333333333332
Zoopark,2016-05-01,52.41981379310345,32.0,2.1755865955172413,0.3980691517931034,5.070820518518518,0.3762350629655173,36.64137931034482,81.18427655172412,30.907148620689654,0.7444827586206898
Pashamylaram,2016-05-01,76.29707448275862,22.99859068965517,1.845107324137931,0.1746280162068965,5.648909137931034,1.6183850568965517,37.88817486206896,63.65130172413794,28.343950344827583,0.5091854793103447
KUDA,2016-05-01,22.0,,,,8.0,,,76.0,21.0,
" Mee-Seva, Warangal ",2016-05-01,19.0,,,,8.0,,,,21.0,
Balasamudram,2016-05-01,11.5,,,,6.3,,,76.0,,
Nakkalagutta,2016-05-01,14.5,,,,6.3,,,83.0,,
Godavarikhani,2016-05-01,30.0,,,,9.0,,,56.0,22.0,
" DIC building, Karimnagar",2016-05-01,21.0,,,,5.0,,,,23.0,
"CER Club, Kothagudem",2016-05-01,19.0,,,,7.0,,,60.0,,
Jalasouda ,2016-05-01,19.0,,,,7.0,,,47.0,,
Kothur,2016-05-01,39.0,,,,8.0,,,61.0,25.0,
R.C.Puram,2016-05-01,26.0,33.0,,,5.0,,,61.0,21.0,
Bollaram,2016-05-01,24.0,,,,12.0,,,165.0,,
Sangareddy,2016-05-01,23.0,36.0,,,5.0,,,61.0,,
PETL,2016-05-01,23.0,,,,11.0,,,70.0,,
Gaddapotharam,2016-05-01,26.0,35.0,,,5.0,,,58.0,,
"Nalgonda RO, Building",2016-05-01,27.0,,,,6.0,,,54.0,20.0,
"Choutuppal, Nalgonda",2016-05-01,28.0,,,,7.0,,,69.0,24.0,
Subhasnagar/  Nizamabad,2016-05-01,,,,,,,,71.0,,
Adilabad/ Mandamarri,2016-05-01,,,,,,,,69.0,,
"Balanagar , CITD office ",2016-06-01,27.9,49.0,,,4.8,,,107.0,79.0,
"Uppal, Modern food Industry, IDA",2016-06-01,32.7,38.0,,,4.7,,,92.0,122.0,
"Jubilee Hills, Police station",2016-06-01,26.9,37.0,,,4.5,,,96.0,87.0,
"Paradise, HMWS &SB Pump house ",2016-06-01,28.5,,,,4.6,,,119.0,75.0,
"Charminar, TSRTC bus station ",2016-06-01,28.5,45.0,,,4.7,,,99.0,88.0,
"Jeedimetla, Industrial Association building",2016-06-01,30.0,,,,4.8,,,93.0,94.0,
"Buddha Purnima Project office, Tank Bund",2016-06-01,22.1,,,,4.6,,,,,
"MGBS, Bus stand ",2016-06-01,20.1,,,,4.6,,,67.0,,
"Chikkadapally, Lepakshi Emporium ",2016-06-01,23.1,,,,5.0,,,73.0,,
"Langar House, Police Station ",2016-06-01,25.1,,,,4.8,,,68.0,,
"Madhapur, Shilpa Kalavedika ",2016-06-01,18.9,,,,4.9,,,58.0,,
"Shameerpet, MRO office",2016-06-01,16.5,,,,4.4,,,77.0,,
"Kukatpally, JNTU",2016-06-01,25.9,,,,5.2,,,80.0,,
"Sainikpuri,  MRO office ",2016-06-01,18.9,,,,5.1,,,79.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-06-01,16.1,,,,,,,64.0,,
"Nacharam, Police station ",2016-06-01,23.6,,,,4.9,,,104.0,,
"Abids, Police station ",2016-06-01,24.3,,,,4.7,,,79.0,,
"KBRN Park, DFO office ",2016-06-01,17.7,,,,4.3,,,41.0,,
Punjagutta,2016-06-01,77.92590684176727,,66.2985905761847,7.796787791569717,,4.486737000482878,11.224644432960064,107.09241182666814,107.09241182666814,1.6807874613537253
Sanathnagar,2016-06-01,30.45251,29.68814,4.456926,0.5610604,5.270953,0.6045355,41.3,,,0.44
HCU,2016-06-01,11.24652,15.0,0.8488739,0.1426909,4.887878,0.122663,24.8,36.0,10.88833,0.8
Zoopark,2016-06-01,,,,,,,,,,
Pashamylaram,2016-06-01,65.92497,17.74306,1.031771,0.1140024,4.813937,1.226555,6.156533,49.49132,11.94547,0.5308893
KUDA,2016-06-01,20.0,,,,7.0,,,72.0,21.0,
" Mee-Seva, Warangal ",2016-06-01,22.0,,,,7.0,,,,28.0,
Balasamudram,2016-06-01,14.0,,,,8.0,,,70.0,,
Nakkalagutta,2016-06-01,13.0,,,,8.0,,,67.0,,
Godavarikhani,2016-06-01,31.0,,,,7.0,,,41.0,23.0,
" DIC building, Karimnagar",2016-06-01,19.0,,,,5.0,,,,21.0,
"CER Club, Kothagudem",2016-06-01,13.0,,,,6.0,,,49.0,20.0,
Jalasouda ,2016-06-01,21.0,,,,5.0,,,47.0,20.0,
Kothur,2016-06-01,34.0,,,,10.0,,,77.0,47.0,
R.C.Puram,2016-06-01,25.0,34.0,,,6.0,,,56.0,21.0,
Bollaram,2016-06-01,26.0,,,,14.0,,,200.0,,
Sangareddy,2016-06-01,22.0,23.0,,,5.0,,,56.0,21.0,
PETL,2016-06-01,21.0,,,,11.0,,,86.0,,
Gaddapotharam,2016-06-01,24.0,24.0,,,6.0,,,50.0,22.0,
"Nalgonda RO, Building",2016-06-01,26.0,,,,6.0,,,55.0,21.0,
"Choutuppal, Nalgonda",2016-06-01,28.0,,,,6.0,,,59.0,25.0,
Subhasnagar/  Nizamabad,2016-06-01,15.0,,,,4.0,,,61.0,,
Adilabad/ Mandamarri,2016-06-01,15.0,,,,4.0,,,66.0,21.0,
"Balanagar , CITD office ",2016-07-01,26.1,46.0,,,4.9,,,96.0,63.0,
"Uppal, Modern food Industry, IDA",2016-07-01,23.3,35.0,,,5.0,,,78.0,55.0,
"Jubilee Hills, Police station",2016-07-01,22.7,34.0,,,4.5,,,81.0,73.0,
"Paradise, HMWS &SB Pump house ",2016-07-01,20.6,,,,4.7,,,101.0,72.0,
"Charminar, TSRTC bus station ",2016-07-01,22.3,39.0,,,4.8,,,85.0,73.0,
"Jeedimetla, Industrial Association building",2016-07-01,22.7,,,,4.8,,,75.0,67.0,
"Buddha Purnima Project office, Tank Bund",2016-07-01,20.6,,,,4.5,,,,,
"MGBS, Bus stand ",2016-07-01,19.6,,,,4.7,,,68.0,,
"Chikkadapally, Lepakshi Emporium ",2016-07-01,25.7,,,,4.9,,,63.0,,
"Langar House, Police Station ",2016-07-01,21.8,,,,4.7,,,65.0,,
"Madhapur, Shilpa Kalavedika ",2016-07-01,17.8,,,,4.5,,,55.0,,
"Shameerpet, MRO office",2016-07-01,16.9,,,,4.5,,,65.0,,
"Kukatpally, JNTU",2016-07-01,22.1,,,,5.0,,,67.0,,
"Sainikpuri,  MRO office ",2016-07-01,15.4,,,,4.5,,,66.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-07-01,15.0,,,,,,,71.0,,
"Nacharam, Police station ",2016-07-01,25.0,,,,4.7,,,98.0,,
"Abids, Police station ",2016-07-01,25.0,,,,4.7,,,87.0,,
"KBRN Park, DFO office ",2016-07-01,14.9,,,,4.3,,,36.0,,
Punjagutta,2016-07-01,78.5,,49.3,5.9,,2.9,6.8,95.0,95.0,1.6
Sanathnagar,2016-07-01,25.6,18.0,4.7,0.5,5.0,0.7,21.0,,,0.45
HCU,2016-07-01,11.6,10.0,0.7,0.1,4.6,0.2,10.2,28.0,8.9,0.7
Zoopark,2016-07-01,,,,,,,,,,
Pashamylaram,2016-07-01,66.6,12.0,1.0,0.1,3.7,0.7,6.6,37.0,13.0,0.7
